一级行业分类,二级行业分类,企业/机构名称,总部所在地,企业官网,核心品牌/产品/服务
电商/零售,特定品类或模式上表现突出的上市公司,小熊电器 (Bear Electric Appliance),中国佛山,‑_ www.bears.com.cn,• 创意小家电品牌：小熊电器（专注于高性价比、创意小家电的研发、生产和销售）
电商/零售,特定品类或模式上表现突出的上市公司,南极电商 (Nanjiri E-commerce),中国苏州,‑_ www.nanjids.com,• 电商服务与品牌授权：南极电商（以南极人品牌为核心，提供品牌授权、电商服务等综合服务）
电商/零售,特定品类或模式上表现突出的上市公司,永辉超市 (Yonghui Superstores),中国福州,‑_ www.yonghui.com.cn,• 生鲜商超龙头：永辉超市（以生鲜为特色的商超连锁，提供线下购物和线上配送服务）
电商/零售,特定品类或模式上表现突出的上市公司,三只松鼠 (Three Squirrels),中国芜湖,‑_ www.3songshu.com,• 互联网休闲食品品牌：三只松鼠（主要通过线上渠道销售坚果、零食等休闲食品）
餐饮/酒店/旅游,餐饮企业,蜜雪冰城股份有限公司,中国郑州,‑_ www.mxbc.com,• 主品牌：蜜雪冰城 (MIXUE)
,,,,,• 核心业务：现制茶饮、冰淇淋等饮品连锁经营，以高性价比著称
餐饮/酒店/旅游,餐饮企业,上海肯德基有限公司,中国上海,(隶属百胜中国控股有限公司),• 主品牌：肯德基 (KFC)
,,,,,"• 母公司/集团：百胜中国控股有限公司 (Yum China Holdings, Inc.)，旗下还拥有必胜客、塔可钟等品牌"
餐饮/酒店/旅游,餐饮企业,瑞幸咖啡（中国）有限公司,中国厦门,(需核实最新官网),• 主品牌：瑞幸咖啡 (Luckin Coffee)
,,,,,• 核心业务：咖啡饮品及轻食零售，以技术驱动的零售网络和便捷的消费体验为特色
餐饮/酒店/旅游,餐饮企业,北京茶姬餐饮管理有限公司,中国北京,‑_ www.chagee.com/zh-cn,• 主品牌：霸王茶姬 (Chagee)
,,,,,• 品牌定位：专注于原叶鲜奶茶，致力于传播东方茶文化
餐饮/酒店/旅游,餐饮企业,四川海底捞餐饮股份有限公司,中国成都,‑_ www.haidilao.com,• 主品牌：海底捞 (Haidilao)
,,,,,• 核心业务：以服务著称的火锅餐饮连锁，并涉足调味品、食材供应等关联业务
餐饮/酒店/旅游,酒店企业,北京首旅酒店（集团）股份有限公司,中国北京,‑_ www.btghotels.com,• 主品牌：首旅酒店 (BTG Hotels)
,,,,,• 品牌矩阵：旗下拥有如家、莫泰、雅客怡家、云上四季、欣燕都、首旅南苑、首旅京伦等多个知名酒店品牌，覆盖不同市场层级
餐饮/酒店/旅游,酒店企业,上海锦江国际酒店股份有限公司,中国上海,‑_ www.jinjianghotels.sh.cn,• 主品牌：锦江酒店 (Jin Jiang Hotels)
,,,,,• 品牌矩阵：作为锦江国际集团核心资产，旗下品牌包括锦江都城、昆仑、丽枫、喆啡、7天系列、卢浮宫集团旗下品牌（如Campanile、Golden Tulip）等，构成庞大品牌体系
餐饮/酒店/旅游,酒店企业,华天酒店集团股份有限公司,中国长沙,‑_ www.huatian-hotel.com,• 主品牌：华天酒店 (Huatian Hotel)
,,,,,• 核心业务：以高星级酒店运营与管理为核心，提供住宿、餐饮、会议等服务
餐饮/酒店/旅游,酒店企业,广州岭南集团控股股份有限公司,中国广州,‑_ www.gzlnholdings.com,• 主品牌：岭南控股 (Lingnan Holdings)
,,,,,• 核心业务：集酒店运营、旅游服务、会展服务于一体的综合性旅游集团，旗下品牌包括岭南酒店等
餐饮/酒店/旅游,旅游服务企业,中青旅控股股份有限公司,中国北京,‑_ www.cyts.com,• 主品牌：中青旅 (CYTS Tours)
,,,,,• 核心业务：提供旅游产品批发、零售、会展服务、景区投资运营等全方位旅游服务
媒体/传播,国家级广播电视机构,中央电视台 (CCTV),中国北京,‑_ www.cctv.com,• 主品牌：中央电视台 (CCTV)
,,,,,• 频道矩阵：CCTV-1（综合频道）、CCTV-13（新闻频道）、CCTV-4（中文国际频道）、CGTN（中国国际电视台）等系列专业频道
,,,,,• 新媒体平台：央视频、央视网
媒体/传播,中央新闻机构/报纸,人民日报 (People's Daily),中国北京,‑_ www.people.com.cn,• 主品牌：人民日报
,,,,,• 子报子刊：环球时报、健康时报、新闻战线、人民论坛等
,,,,,• 新媒体矩阵：人民网、人民日报客户端、人民号融媒体平台
媒体/传播,国家级通讯社,新华社 (Xinhua News Agency),中国北京,‑_ www.xinhuanet.com,• 主品牌：新华社
,,,,,• 新闻服务：文字、图片、音视频新闻供稿
,,,,,• 技术平台：现场云新闻在线生产系统、媒体大脑AI平台
媒体/传播,通讯社,中国新闻社 (China News Service),中国北京,‑_ www.chinanews.com.cn,• 主品牌：中国新闻社
,,,,,• 核心业务：面向海外华文媒体的新闻供稿与服务
媒体/传播,地方广播电视机构,湖南卫视 (Hunan TV),中国长沙,‑_ www.hunantv.com,• 主品牌：湖南卫视（湖南广播电视台旗下核心卫星频道）
,,,,,• 内容生态：芒果TV（新媒体平台）、《快乐大本营》、《歌手》等综艺节目
媒体/传播,地方综合性传媒集团,东方传媒 (SMG),中国上海,‑_ www.smg.com.cn,• 主品牌：上海广播电视台/上海文化广播影视集团（SMG）
,,,,,• 业务板块：广播电视播出、影视剧制作、新媒体业务（如BesTV+）
媒体/传播,国家级英文媒体,中国日报 (China Daily),中国北京,‑_ www.chinadaily.com.cn,• 主品牌：中国日报
,,,,,• 核心产品：《中国日报》及旗下系列出版物，致力于向世界介绍中国
媒体/传播,中央重点新闻报纸,光明日报 (Guangming Daily),中国北京,‑_ www.gmw.cn,• 主品牌：光明日报
,,,,,• 品牌定位：以知识分子为重点宣传对象的综合性党报
媒体/传播,电影产业龙头企业,"中国电影股份有限公司 (China Film Co., Ltd.)",中国北京,‑_ www.chinafilm.com,• 主品牌：中国电影股份有限公司
,,,,,• 核心业务：电影制片、发行、放映及影视服务全产业链运营
媒体/传播,地方综合性传媒集团,中南传媒 (Zhongnan Media),中国长沙,‑_ www.zncmjt.com/,• 主品牌：中南出版传媒集团（通常所指）
,,,,,• 核心业务：图书、报刊、电子音像等出版物的出版、发行及相关业务
媒体/传播,面向全球华语的广播电视机构,凤凰卫视 (Phoenix TV),中国香港,‑_ www.phtv.com,• 主品牌：凤凰卫视
,,,,,• 核心业务：通过卫星向全球华语观众播放的电视台及相关新媒体业务
互联网/科技,短视频与内容平台,抖音集团 (字节跳动),中国北京,‑_ www.bytedance.com,• 核心平台：抖音 (主站)、抖音极速版 (侧重用户增长与激励)、抖音火山版 (源自“火山小视频”，更侧重下沉市场社交) 
,,,,,• 内容生态：今日头条 (信息流)、西瓜视频 (中视频)、番茄小说 (免费阅读)、懂车帝 (汽车资讯) 
,,,,,• 企业服务：飞书 (协同办公)、巨量引擎 (营销服务)、火山引擎 (云计算) 
,,,,,• 国际化：TikTok (全球短视频平台)
互联网/科技,短视频与社交平台,快手科技,中国北京,‑_ www.kuaishou.com,• 主品牌/平台：快手 (主站) 
,,,,,• 产品矩阵：快手极速版 
,,,,,• 业务生态：电商、直播、本地生活服务、游戏 (自研/发行) 
,,,,,• 投资布局：AcFun (A站，二次元社区)
互联网/科技,社交与内容生态,腾讯控股,中国深圳,(腾讯控股官网),• 核心社交平台：微信 (内含视频号功能，深度集成于微信生态) 
,,,,,• 视频内容战略：微信视频号 (基于社交推荐，与公众号、小程序、朋友圈、支付等微信内各场景打通的短视频与直播内容平台)
互联网/科技,视频社区与平台,哔哩哔哩,中国上海,‑_ www.bilibili.com,• 主品牌/平台：哔哩哔哩 (B站，综合性视频社区，涵盖PUGV、OGV、直播、漫画等) 
,,,,,• 业务拓展：游戏 (发行与自研)、大会员 (增值服务)、广告、电商及其他
互联网/科技,生活方式社区与平台,行吟信息科技 (小红书),中国上海,(信息缺失),• 主品牌/平台：小红书 (内容社区，用户分享生活方式笔记，覆盖美妆、时尚、旅行、美食等领域) 
,,,,,• 商业模式：内容社区+电商
互联网/科技,信息与内容服务,百度集团,中国北京,‑_ www.baidu.com,• 核心产品：百度搜索、百度App
,,,,,• 短视频战略：好看视频 (百度旗下短视频旗舰品牌，定位泛知识短视频平台，是百度移动生态的重要内容组成部分) 
,,,,,• 内容分发：百家号 (内容创作平台，为好看视频等提供内容源)
互联网/科技,媒体与内容平台,芒果超媒,中国长沙,‑_ www.mangoguide.com,• 主品牌/平台：芒果TV (互联网视频平台，提供影视剧、综艺、动漫等长视频内容，并积极拓展短视频、电商等业务) 
,,,,,• 特色优势：背靠湖南广电，拥有强大的内容制作与版权资源
商业服务,综合营销传播集团,奥美（Ogilvy）,美国纽约,‑_ www.ogilvy.com,• 核心业务架构：增长与创新、广告、消费者体验、公关、健康
,,,,,• 方法论：360度品牌管家理论
商业服务,整合营销服务,蓝色光标（BlueFocus）,中国北京,‑_ www.bluefocusgroup.com,• 主品牌：蓝色光标
,,,,,• 业务范围：涵盖广告、公共关系、社交媒体营销等整合营销服务
商业服务,公共关系,爱德曼（Edelman）,美国纽约,‑_ https://www.edelman.com/cn/zh-hant,• 主品牌：爱德曼（注：搜索结果中提及的“爱德曼氢能源”为不同实体，不适用）
商业服务,综合性广告集团,省广集团（GIMC）,中国广州,‑_ www.gimc.cn,• 主品牌：广东省广告集团股份有限公司
,,,,,• 业务范围：提供广告设计、代理、制作、发布及综合营销服务
商业服务,公共关系,万博宣伟（Weber Shandwick）,美国纽约,信息缺失,• 主品牌：万博宣伟（注：搜索结果中“万博宣伟国际（亚太区）有限公司北京代表处”已注销）
商业服务,公共关系,伟达公关（Hill & Knowlton）,美国纽约,信息缺失,• 主品牌：伟达公关（注：搜索结果中“伟达（中国）公共关系顾问有限公司”存续）
商业服务,品牌营销集团,因赛集团（INSIGHT）,中国广州,‑_ www.gdinsight.com,• 主品牌：广东因赛品牌营销集团股份有限公司
,,,,,• 业务范围：提供品牌战略、整合营销传播等服务
商业服务,公共关系,迪思（D&S）,中国北京,‑_ www.dsconsulting.com.cn,• 主品牌：北京迪思公关顾问有限公司
,,,,,• 业务范围：提供公共关系、市场营销策划等服务
内容创意/MCN,综合性数字内容/电商机构,无忧传媒 (Joy Media),中国，北京/杭州 (双总部),‑_ www.wuyou.com,• 核心业务：娱乐直播、短视频内容、直播电商 
,,,,,• 代表性达人/IP：刘畊宏（健身）、广东夫妇（大狼狗郑建鹏&言真，电商）、多余和毛毛姐（剧情喜剧）、张大大（综艺）等 
,,,,,• 创新业务：团播（如宇宙009男团）、知识服务、文旅融合
内容创意/MCN,直播电商与数字营销,遥望网络 (YOWANT),中国，杭州,‑_ www.yowant.com,• 核心业务：明星达人直播电商、数字营销 
,,,,,• 代表性达人/IP：瑜大公子（美妆）、李宣卓（酒水）等；签约合作艺人包括王祖蓝、张柏芝等 
,,,,,• 技术创新：虚拟人“孔襄”、数字影棚
内容创意/MCN,电商直播机构,美腕（上海）网络科技有限公司 (美ONE),中国，上海,‑_ www.meione.com,• 核心业务：直播电商 
,,,,,• 代表性达人/IP：李佳琦（美妆护肤）
内容创意/MCN,综合性内容机构,二咖传媒 (ERKA),中国，北京,‑_ www.erkamedia.com,• 核心业务：短视频内容制作、达人孵化 
,,,,,• 人员规模：100-499人
内容创意/MCN,短视频内容创作与分发,古麦嘉禾,中国，青岛,（信息缺失）,• 核心业务：短视频内容研发、制作、运营 
,,,,,• 人员规模：100-499人
内容创意/MCN,抖音全案代运营服务,杭州融趣文化传媒有限公司 (融趣传媒),中国，杭州,‑_ www.roundchic.com,• 核心业务：抖音等平台账号代运营、直播带货、整合营销 
,,,,,• 服务特色：提供“品效销”一体化服务
内容创意/MCN,数字内容创作与技术,青藤文化 (Ividea),中国，北京,‑_ www.ividea.cn,• 核心业务：内容营销、视频制作、IP孵化 
,,,,,• 业务范围：涵盖短视频、信息流、互动影视等内容形式
内容创意/MCN,数字内容与网红经纪,大禹网络 (Suzhou Dayu),中国，苏州,‑_ www.dayukeji.com,• 核心业务：网络技术开发、内容制作、网红孵化 
,,,,,• 人员规模：500-999人
内容创意/MCN,文化传播与内容营销,蜂群文化 (Bee Colony Culture),中国，深圳,‑_ www.hivemedia.cn,• 核心业务：影视多媒体设计、文化活动策划、内容营销 
,,,,,• 人员规模：100-499人
内容创意/MCN,科技推广与应用,上海燕数科技有限公司 (Yanshu Technology),中国，上海,‑_ www.singularcube.cn/,• 核心业务：技术服务、技术开发、技术咨询
内容创意/MCN,文化传播与艺人经纪,OST传媒,中国，成都,‑_ www.ostmcn.com,• 核心业务：网红经纪、内容制作、电商直播 
,,,,,• 人员规模：小于50人
文化娱乐,融媒体与内容平台,芒果超媒股份有限公司,中国长沙,‑_ www.happigo.com,• 核心平台：芒果TV（互联网视频平台）
,,,,,• 内容生态：影视剧制作与发行、综艺节目制作（如《乘风破浪的姐姐》）、艺人经纪
,,,,,• 业务拓展：电子商务、互动娱乐、媒体零售等
文化娱乐,生活圈媒体与广告,分众传媒信息技术股份有限公司,中国广州,‑_ www.focusmedia.cn,• 核心网络：楼宇电梯媒体（商务楼宇联播网）、影院媒体（影院映前广告）
,,,,,• 媒体矩阵：涵盖都市主流消费人群的多场景媒体网络
文化娱乐,影视内容制作与发行,光线传媒股份有限公司,中国北京,‑_ www.ewang.com,• 电影业务：投资、制作、宣传发行影片（如《哪吒之魔童降世》《满江红》）
,,,,,• 厂牌体系：光线影业、彩条屋影业（动画）、青春光线等
,,,,,• 业务布局：电视剧、动画、艺人经纪、实景娱乐
文化娱乐,影视内容制作与发行,华策影视股份有限公司,中国杭州,‑_ www.huacemedia.com,• 核心业务：电视剧、电影的制作、发行
,,,,,• 业务范围：涵盖影视内容全产业链
文化娱乐,电影全产业链,中国电影产业集团股份有限公司,中国北京,‑_ https://www.zgdygf.com/,• 全产业链运营：电影制片、发行、放映、影视服务
文化娱乐,短视频与直播,北京快手科技有限公司,中国北京,‑_ www.kwai.com,• 核心平台：快手（短视频直播内容社区）
,,,,,• 业务生态：直播、电商、营销、游戏等
文化娱乐,演艺与主题公园,宋城演艺发展股份有限公司,中国杭州,‑_ www.songcn.com/shares,• 核心业务：主题公园投资、运营，演出组织（如“宋城千古情”系列）
,,,,,• 业务范围：文化活动策划、旅游服务等
文化娱乐,动漫与娱乐产品,奥飞娱乐股份有限公司,中国汕头,‑_ www.gdalpha.com/,• 核心业务：动漫影视内容制作、玩具制造、婴童用品等
,,,,,• 知名IP：拥有并运营一系列自主动漫IP
文化娱乐,传媒与艺人经纪,上海天娱传媒有限公司,中国上海,（信息缺失）,• 核心业务：电视节目制作、发行；演出活动策划；艺人经纪等
文化娱乐,影视内容制作与发行,华谊兄弟传媒股份有限公司,中国浙江,（信息缺失）,• 核心业务：电影、电视剧的制作、发行及艺人经纪
,,,,,• 投资运营：影院、品牌授权等
文化娱乐,演出与票务,中演票务通文化发展有限责任公司,中国北京,‑_ www.t3.com.cn,• 核心业务：经营演出及经纪业务；票务代理；文化艺术活动策划
文化/体育,电竞赛事运营与生态构建,腾讯电竞,中国深圳,(隶属腾讯公司),• 独立业务品牌：腾讯电竞 (腾讯旗下) 
,,,,,• 核心赛事体系：英雄联盟职业联赛（LPL）、王者荣耀职业联赛（KPL）、穿越火线职业联赛（CFPL）等 
,,,,,• 生态布局：电竞教育、电竞技术、产业生态、特许经营、电竞规范
文化/体育,电竞赛事运营与综合服务,英雄体育管理有限公司 (VSPO),中国上海,‑_ https://www.heroesports.com,• 主品牌/平台：英雄体育（VSPO） 
,,,,,• 核心业务：电竞赛事和泛娱乐内容制作、电竞商业化、电竞社群运营、电竞综合体运营 
,,,,,• 子品牌/服务：伐木累、灵石、香蕉游戏、DK等独立运营子品牌
文化/体育,电竞赛事平台,网易电竞NeXT,中国广州,(隶属网易公司),• 赛事品牌：网易电竞NeXT（网易游戏旗下首个集合多款热门游戏的专业电竞赛事） 
,,,,,• 赛事模式：通过线上预选以及线下决赛的形式，为游戏爱好者提供参与、观赏以及游戏文化沉浸式体验的综合性电竞赛事活动
文化/体育,体育产业服务（电竞方向）,华体电竞（北京）体育文化有限公司,中国北京,(信息缺失),• 主品牌：华体电竞（华体集团下属专业电竞公司） 
,,,,,• 核心业务：标准制定（如牵头主编《电子竞技场馆建设标准》）、电竞主题生活空间建设运营、会议组织、赛事娱乐活动承办
文化/体育,综合性数字体育,星竞威武NipGroup,中国武汉,‑_ https://nip.gl,• 主品牌：星竞威武（综合性数字体育公司） 
,,,,,• 核心资产：旗下拥有NIP电竞俱乐部、eStar电竞俱乐部等多个品牌 
,,,,,• 业务范围：电竞俱乐部运营、赛事活动、数字体育人才经纪、电竞教育等多元业务
文化/体育,电竞体育运营,腾竞体育文化发展（上海）有限公司,中国上海,‑_ http://www.tjsports.com,• 主品牌：腾竞体育（由腾讯互动娱乐和拳头游戏联合成立） 
,,,,,• 核心业务：专注于LPL赛区英雄联盟核心赛事联盟管理及运营，致力于英雄联盟电竞生态建设
文化/体育,游戏研发与电竞赛事,完美世界电竞,中国浙江,(隶属完美世界股份有限公司),• 主品牌：完美世界电竞（完美世界旗下） 
,,,,,• 核心业务：提供一站式电竞赛事服务，作为DOTA2与CS:GO在国内的独家运营商，围绕其举办大型电竞赛事
文化/体育,生活圈媒体,分众传媒信息技术股份有限公司,中国广州,‑_ https://www.focusmedia.cn,• 主品牌：分众传媒 
,,,,,• 核心网络：楼宇电梯媒体（商务楼宇联播网）、影院媒体（影院映前广告）等生活圈媒体网络
文化/体育,体育器材制造,江苏金陵体育器材股份有限公司,中国张家港,‑_ http://www.jlsports.com,• 主品牌：金陵体育 
,,,,,• 核心产品：体育器材、健身器材、体育场馆设施、场馆座椅、舞台设备等
文化/体育,体育场地设施,江苏共创人造草坪股份有限公司,中国淮安,‑_ http://www.ccgrass.cn,• 主品牌：共创草坪 
,,,,,• 核心业务：人造草坪的研发、制造和销售，为全球体育产业提供基础设施产品
文化与教育,综合性教育集团,新东方教育科技集团 (New Oriental),中国北京,‑_ www.xdf.cn,• 核心业务：语言培训、K12教育、国际教育、大学生考试培训、素质教育
,,,,,• 创新业务：东方甄选（直播电商）、新东方文旅
,,,,,• 品牌理念：致力于成为以学生全面成长为核心、以科技为驱动力的综合性教育集团
文化与教育,科技驱动型教育集团,好未来（学而思）(TAL Education),中国北京,‑_ www.100tal.com,• 核心品牌：学而思素养、学而思网校、学而思智能硬件（学习机等）
,,,,,• 科技研发：自研教育大模型（九章大模型）
,,,,,• 业务生态：覆盖科教、科创、科普三大战略方向，服务个人与机构用户
文化与教育,职业考试培训,中公教育 (OFFCN),中国北京,‑_ www.offcn.com,• 核心业务：公务员、事业单位、教师等公职类招录考试培训
,,,,,• 服务模式：面授、线上课程、图书出版与发行
,,,,,• 业务范围：涵盖学历提升、职业资格与能力培训等多个板块
文化与教育,IT职业教育,达内教育 (Tedu),中国北京,‑_ www.tedu.cn,• 核心课程：Java、Python、C++、UI/UE、网络营销、云计算、大数据等IT技能培训
,,,,,• 业务拓展：青少年编程等科技素质教育
,,,,,• 合作特色：与多家企业有人才合作，提供就业推荐服务
文化与教育,职业考试培训,华图教育 (Huatu),中国北京,‑_ www.huatu.com,• 核心业务：公务员、事业单位、教师、医疗等公职类考试培训
,,,,,• 业务模式：面授培训、网络教学、图书出版
文化与教育,在线职业培训,粉笔公考 (Fenbi),中国北京,‑_ www.fenbi.com,• 核心业务：公务员、事业单位、教师等考试线上培训
,,,,,• 产品特色：以APP为载体，提供线上课程、题库、模考等服务
文化与教育,IT职业教育,传智教育（黑马程序员）(Itcast),中国江苏沭阳,‑_ www.itcast.cn,• 核心品牌：黑马程序员（IT短期培训）、博学谷（在线教育）、传智专修学院（学历教育）
,,,,,• 课程方向：Java、Python、前端开发等软件开发和数字艺术设计培训
文化与教育,财经职业教育,高顿教育 (Gaodun),中国上海,‑_ www.gaodun.com,• 核心业务：财经证书（如CPA、ACCA、CFA）培训、财经大学教育
,,,,,• 服务对象：个人用户、企业用户（提供企业财税培训服务）
文化与教育,远程教育,正保远程教育 (ChinaAcc),中国北京,‑_ www.chinaacc.com,• 核心业务：会计、医学、建设工程等行业的远程职业教育
,,,,,• 运营模式：网络教育平台，提供各类资格考试在线课程
文化与教育,留学语言培训,环球教育 (Global Education),中国北京,‑_ https://www.gedu.net.cn/about/,• 核心业务：雅思、托福等出国留学语言考试培训及相关服务
